Datum roka;Ura;Predmet;Predavalnica;Za način izvedbe;Komisijski;Št. prijav;Opombe;Zaht. obvez.;Anketa
;;;;;;;;;
30.01.2019;00:00:00;Daljinsko zaznavanje I - B - GIG - UNI;P-IV/6;redni študij;NE;0;;DA;DA
;;;;;;;;;
30.01.2019;00:00:00;Geoinformatika II - B II - GIG;.;redni študij;NE;0;;DA;DA
;;;;;;;;;
31.01.2019;09:00:00;Programska orodja v geodeziji - B - GIG - UNI;.;redni študij;NE;0;606 ;DA;DA
;;;;;;;;;
4.02.2019;00:00:00;Obdelava podatkov - B - TUN;.;redni in izredni študij;NE;0;;DA;DA
;;;;;;;;;
5.02.2019;09:00:00;Programska orodja v upravljanju nepremičnin (5 KT) - B - TUN - VSŠ;.;redni in izredni študij;NE;0;606 ;DA;DA
;;;;;;;;;
6.02.2019;09:00:00;Geoinformatika III - B II GIG;.;redni študij;DA;0;606 ;DA;NE
;;;;;;;;;
7.02.2019;09:00:00;Osnove obdelave podatkov - B - GIG;.;redni in izredni študij;NE;0;606 ;DA;DA
;;;;;;;;;
11.02.2019;00:00:00;Avtomatska obdelava podatkov - B - TUN -VSŠ;.;redni in izredni študij;DA;0;;DA;DA
;;;;;;;;;
13.02.2019;00:00:00;Daljinsko zaznavanje I - B - GIG - UNI;P-IV/6;redni študij;DA;0;;DA;DA
;;;;;;;;;
13.02.2019;00:00:00;Geoinformatika II - B II - GIG;.;redni študij;DA;0;;DA;DA
;;;;;;;;;
14.02.2019;09:00:00;Programska orodja v geodeziji - B - GIG - UNI;.;redni študij;DA;0;606 ;DA;DA
;;;;;;;;;
18.02.2019;00:00:00;Obdelava podatkov - B - TUN;.;redni in izredni študij;DA;0;;DA;DA
;;;;;;;;;
19.02.2019;09:00:00;Programska orodja v upravljanju nepremičnin (5 KT) - B - TUN - VSŠ;.;redni in izredni študij;DA;0;606 ;DA;DA
;;;;;;;;;
21.02.2019;09:00:00;Osnove obdelave podatkov - B - GIG;.;redni in izredni študij;DA;0;606 ;DA;DA
;;;;;;;;;
18.06.2019;00:00:00;Daljinsko zaznavanje in fotogrametrija II - B II - GIG;.;redni študij;NE;0;;DA;DA
;;;;;;;;;
24.06.2019;00:01:00;Uporabno daljinsko zaznavanje - B - TUN - VSŠ;.;redni in izredni študij;NE;0;;DA;DA
;;;;;;;;;
26.06.2019;00:00:00;Geoinformatika III - B II GIG;.;redni študij;DA;0;;DA;DA
;;;;;;;;;
27.06.2019;09:00:00;Analize prostorskih podatkov - B II - GIG;P-IV/7;redni študij;NE;0;;DA;DA
;;;;;;;;;
28.06.2019;00:00:00;Avtomatska obdelava podatkov - B - TUN -VSŠ;.;redni in izredni študij;DA;0;;DA;DA
;;;;;;;;;
2.07.2019;00:00:00;Daljinsko zaznavanje in fotogrametrija II - B II - GIG;.;redni študij;DA;0;;DA;DA
;;;;;;;;;
8.07.2019;00:01:00;Uporabno daljinsko zaznavanje - B - TUN - VSŠ;.;redni in izredni študij;DA;0;;DA;DA
;;;;;;;;;
11.07.2019;09:00:00;Analize prostorskih podatkov - B II - GIG;P-IV/7;redni študij;DA;0;;DA;DA
;;;;;;;;;
23.08.2019;00:01:00;Uporabno daljinsko zaznavanje - B - TUN - VSŠ;.;redni in izredni študij;DA;0;;DA;DA
;;;;;;;;;
26.08.2019;00:00:00;Daljinsko zaznavanje I - B - GIG - UNI;.;redni študij;DA;0;;DA;DA
;;;;;;;;;
26.08.2019;00:00:00;Geoinformatika II - B II - GIG;.;redni študij;DA;0;;DA;DA
;;;;;;;;;
30.08.2019;00:00:00;Daljinsko zaznavanje in fotogrametrija II - B II - GIG;.;redni študij;DA;0;;DA;DA
;;;;;;;;;
30.08.2019;00:00:00;Avtomatska obdelava podatkov - B - TUN -VSŠ;.;redni in izredni študij;DA;0;;DA;DA
;;;;;;;;;
30.08.2019;00:00:00;Geoinformatika III - B II GIG;.;redni študij;DA;0;;DA;DA
;;;;;;;;;
2.09.2019;00:00:00;Programska orodja v upravljanju nepremičnin (5 KT) - B - TUN - VSŠ;.;redni in izredni študij;DA;0;;DA;DA
;;;;;;;;;
2.09.2019;00:00:00;Obdelava podatkov - B - TUN;.;redni in izredni študij;DA;0;;DA;DA
;;;;;;;;;
9.09.2019;00:00:00;Osnove obdelave podatkov - B - GIG;.;redni in izredni študij;DA;0;;DA;DA
;;;;;;;;;
10.09.2019;09:00:00;Analize prostorskih podatkov - B II - GIG;P-IV/7;redni študij;DA;0;;DA;DA
;;;;;;;;;
13.09.2019;00:00:00;Programska orodja v geodeziji - B - GIG - UNI;.;redni študij;DA;0;;DA;DA
