Datum roka,Ura,Predavalnica,Opombe,Subject,AllDay
30.01.2019,00:00:00,P-IV/6,,Izpit - Daljinsko zaznavanje I - B - GIG - UNI,True
30.01.2019,00:00:00,,,Izpit - Geoinformatika II - B II - GIG,True
31.01.2019,09:00:00,,606 ,Izpit - Programska orodja v geodeziji - B - GIG - UNI,False
4.02.2019,00:00:00,,,Izpit - Obdelava podatkov - B - TUN,True
5.02.2019,09:00:00,,606 ,Izpit - Programska orodja v upravljanju nepremičnin (5 KT) - B - TUN - VSŠ,False
6.02.2019,09:00:00,,606 ,Izpit - Geoinformatika III - B II GIG,False
7.02.2019,09:00:00,,606 ,Izpit - Osnove obdelave podatkov - B - GIG,False
11.02.2019,00:00:00,,,Izpit - Avtomatska obdelava podatkov - B - TUN -VSŠ,True
13.02.2019,00:00:00,P-IV/6,,Izpit - Daljinsko zaznavanje I - B - GIG - UNI,True
13.02.2019,00:00:00,,,Izpit - Geoinformatika II - B II - GIG,True
14.02.2019,09:00:00,,606 ,Izpit - Programska orodja v geodeziji - B - GIG - UNI,False
18.02.2019,00:00:00,,,Izpit - Obdelava podatkov - B - TUN,True
19.02.2019,09:00:00,,606 ,Izpit - Programska orodja v upravljanju nepremičnin (5 KT) - B - TUN - VSŠ,False
21.02.2019,09:00:00,,606 ,Izpit - Osnove obdelave podatkov - B - GIG,False
18.06.2019,00:00:00,,,Izpit - Daljinsko zaznavanje in fotogrametrija II - B II - GIG,True
24.06.2019,00:01:00,,,Izpit - Uporabno daljinsko zaznavanje - B - TUN - VSŠ,True
26.06.2019,00:00:00,,,Izpit - Geoinformatika III - B II GIG,True
27.06.2019,09:00:00,P-IV/7,,Izpit - Analize prostorskih podatkov - B II - GIG,False
28.06.2019,00:00:00,,,Izpit - Avtomatska obdelava podatkov - B - TUN -VSŠ,True
2.07.2019,00:00:00,,,Izpit - Daljinsko zaznavanje in fotogrametrija II - B II - GIG,True
8.07.2019,00:01:00,,,Izpit - Uporabno daljinsko zaznavanje - B - TUN - VSŠ,True
11.07.2019,09:00:00,P-IV/7,,Izpit - Analize prostorskih podatkov - B II - GIG,False
23.08.2019,00:01:00,,,Izpit - Uporabno daljinsko zaznavanje - B - TUN - VSŠ,True
26.08.2019,00:00:00,,,Izpit - Daljinsko zaznavanje I - B - GIG - UNI,True
26.08.2019,00:00:00,,,Izpit - Geoinformatika II - B II - GIG,True
30.08.2019,00:00:00,,,Izpit - Daljinsko zaznavanje in fotogrametrija II - B II - GIG,True
30.08.2019,00:00:00,,,Izpit - Avtomatska obdelava podatkov - B - TUN -VSŠ,True
30.08.2019,00:00:00,,,Izpit - Geoinformatika III - B II GIG,True
2.09.2019,00:00:00,,,Izpit - Programska orodja v upravljanju nepremičnin (5 KT) - B - TUN - VSŠ,True
2.09.2019,00:00:00,,,Izpit - Obdelava podatkov - B - TUN,True
9.09.2019,00:00:00,,,Izpit - Osnove obdelave podatkov - B - GIG,True
10.09.2019,09:00:00,P-IV/7,,Izpit - Analize prostorskih podatkov - B II - GIG,False
13.09.2019,00:00:00,,,Izpit - Programska orodja v geodeziji - B - GIG - UNI,True
