Datum roka,Ura,Predavalnica,Opombe,Subject,AllDay
29.01.2020,09:00:00,,izpit bo v kabinetu 606 ,Izpit - Daljinsko zaznavanje I - B - GIG - UNI,False
30.01.2020,09:00:00,,izpit bo v kabinetu 606 ,Izpit - Programska orodja v geodeziji - B - GIG - UNI,False
6.02.2020,09:00:00,,izpit bo v kabinetu 606 ,Izpit - Osnove obdelave podatkov - B - GIG,False
12.02.2020,09:00:00,,izpit bo v kabinetu 606 ,Izpit - Daljinsko zaznavanje I - B - GIG - UNI,False
13.02.2020,09:00:00,,izpit bo v kabinetu 606 ,Izpit - Programska orodja v geodeziji - B - GIG - UNI,False
20.02.2020,09:00:00,,izpit bo v kabinetu 606 ,Izpit - Osnove obdelave podatkov - B - GIG,False
10.06.2020,09:00:00,,izpit bo v kabinetu 606 ,Izpit - Geoinformatika III - B II GIG,False
24.06.2020,09:00:00,,izpit bo v kabinetu 606 ,Izpit - Geoinformatika III - B II GIG,False
24.08.2020,09:00:00,,izpit bo v kabinetu 606 ,Izpit - Daljinsko zaznavanje I - B - GIG - UNI,False
31.08.2020,09:00:00,,izpit bo v kabinetu 606 ,Izpit - Geoinformatika III - B II GIG,False
7.09.2020,09:00:00,,izpit bo v kabinetu 606 ,Izpit - Osnove obdelave podatkov - B - GIG,False
11.09.2020,09:00:00,,izpit bo v kabinetu 606 ,Izpit - Programska orodja v geodeziji - B - GIG - UNI,False
