,Subject,StartDate,StartTime,EndDate,EndTime
0,Seja senata,2020-10-28,14:00:00,2020-10-28,17:00:00
1,Seja senata,2020-11-25,14:00:00,2020-11-25,17:00:00
2,Seja senata,2020-12-23,14:00:00,2020-12-23,17:00:00
3,Seja senata,2021-01-27,09:00:00,2021-01-27,12:00:00
4,Seja senata,2021-02-24,14:00:00,2021-02-24,17:00:00
5,Seja senata,2021-03-31,14:00:00,2021-03-31,17:00:00
6,Seja senata,2021-04-21,14:00:00,2021-04-21,17:00:00
7,Seja senata,2021-05-26,14:00:00,2021-05-26,17:00:00
8,Seja senata,2021-06-30,09:00:00,2021-06-30,12:00:00
9,Seja senata,2021-09-22,09:00:00,2021-09-22,12:00:00
