Naslov serijske publikacije;Leto;ISSN;Faktor vpliva
Geodetski Vestnik;2020;0351-0271/1581-1328;0,551
Geodetski Vestnik;2019;0351-0271/1581-1328;0,469
Geodetski Vestnik;2018;0351-0271;0,606
Geodetski Vestnik;2017;0351-0271;0,337
Geodetski Vestnik;2016;0351-0271;0,234
Geodetski Vestnik;2015;0351-0271;0,253
Geodetski Vestnik;2014;0351-0271;0,254
Geodetski Vestnik;2013;0351-0271;0,288
Geodetski Vestnik;2012;0351-0271;0,367
Geodetski Vestnik;2011;0351-0271;0,212
Geodetski Vestnik;2010;0351-0271;0,215
Geodetski Vestnik;2009;0351-0271;0,227
