,0,1
0,Aplikativna geokemija okolja,Applied Environmental Geochemistry
1,Bioklimatsko načrtovanje,Bioclimatic Design
2,Biotski odgovor na globalne paleoekološke spremembe,Biotic Response to Global Paleoecological Change
3,Deformacijska analiza naravnega in grajenega okolja,Deformation Analysis of Natural and Built Environment
4,Dinamika gradbenih konstrukcij z uporabo v potresnem inženirstvu,Dynamics of Structures with Applications to Earthquake Engineering
6,Dnevna svetloba,Daylighting
7,Duktilnost in stabilnost jeklenih konstrukcij,Ductility and Stability of Steel Structures
9,Eksperimentalno podprto projektiranje zidanih stavb,Experimentally Supported Design of Masonry Buildings
11,Empirično modeliranje okoljskih sistemov,Data-driven Modelling of Environmental Systems
12,Geoarheologija,Geoarchaeology
13,Geofizikalne metode raziskav,Geophysical Investigation Methods
14,Geoinformatika v znanosti in ontologija nepremičnin,Geoinformatics in Science and Ontology of Real Properties
15,Geokemijski procesi,Geochemical Processes
16,GNSS v geodeziji in geofiziki,GNSS in Geodesy and Geophysics
17,Gravimetrija v geodeziji,Gravimetry in Geodesy
18,Hidrogeologija krasa in medzrnskega poroznega medija,Hydrogeology of Karst and Intergranular Porous Media
19,Hidrološke meritve in hidrološko modeliranje,Hydrologic Measurements and Modelling
20,Hidrološko in geotehnično raziskovanje zemeljskih plazov,Hydrologic and Geotechnical Research on Landslides
22,Individualno raziskovalno delo I,Individual research work I
26,Individualno raziskovalno delo II,Individual research work II
30,Individualno raziskovalno delo III,Individual research work III
34,Izbirni predmet 15 KT,Elective course 15 ECTS
36,Izbirni predmet 25 KT,Elective course 25 ECTS
38,Izbirni predmet II,Elective course II
42,Izbrana poglavja s področja hidrotehničnih konstrukcij,Selected Topics in the Field of Hydraulics Structures
43,Izdelava in javni zagovor doktorske disertacije,Elaboration and public defence of PhD thesis
47,Izdelava in predstavitev teme disertacije,Elaboration and presentation of doctoral theme
52,Jekla visoke trdnosti v konstrukcijah,Structural Application of High Strength Steels
53,Kraški procesi in pojavi,Karst Processes and Fractals
54,Lupine in membrane,Shell and Membrane Structures
55,Matematično modeliranje in turbulenca v hidravliki,Mathematical Modelling and Turbulence in Hydraulics
57,Matematično modeliranje v prometnem inženirstvu,Mathematical Models in Traffic Engineering
58,Meritve in modeliranje erozije in sedimentacije,Measurements and Modelling of Erosion and Sedimentation
60,Metode inženirskogeoloških raziskav za zahtevne objekte,Engineering Geology Methods for Complex Structures
61,Metode izboljšanja temeljnih tal,Ground Improvement Methods
62,Metode končnih elementov za konstrukcije,Finite Element Methods for Structures
64,Metode numeričnega modeliranja,Computational Engineering Methods
66,Modeliranje podzemnih objektov,Modelling of Underground Structures
67,Modeliranje prenosa in pretvorb snovi v vodnem okolju,Modelling Transport and Transformation of Substances in Water Systems
68,Na znanje oprto inženirstvo,Knowledge Based Engineering
69,Načrtovanje zdravih stavb,Design of Healthy Buildings
71,Napredna petrologija magmatskih in metamorfnih kamnin,Advanced Petrology of Igneous and Metamorphic Rocks
72,Napredne metode planiranja in spremljanja projektov,Advanced Methods of Project Planning and Monitoring
73,Napredne tehnologije malt in betonov,Advanced Mortars and Concretes Technologies
75,Napredni konstrukcijski sklopi – NKS,Advanced Constructional Complexes – ACC
76,Nelinearna analiza betonskih konstrukcij,Nonlinear Analysis of Concrete Structures
77,Nelinearna analiza in projektiranje potresno odpornih armiranobetonskih stavb,Inelastic Analysis and Design of Earthquake Resistant Reinforced Concrete Buildings
79,Nelinearna analiza kompozitnih konstrukcij,Nonlinear Analysis of the Composite Structures
80,Nelinearna dinamika,Non-linear Dynamics
81,Nelinearna mehanika deformabilnih teles,Non-linear Continuum Mechanics
83,Nelinearna mehanika konstrukcij,Non-linear Structural Mechanics
84,Nelinearna požarna analiza,Nonlinear Fire Analyses
85,Novi materiali,New Materials
87,Numerične metode v mehaniki konstrukcij,Numerical Methods in Structural Mechanics
88,Numerične metode v raziskovanju grajenega okolja,Numerical Methods in the Built Environment Research
90,Numerične metode za elastoplastičnost,Numerical Methods for Elastoplasticity
91,Obdelava podob daljinskega zaznavanja,Remote Sensing Image Processing
93,Orodja in metode v raziskovanju grajenega okolja,Tools and Methods in Research of Built Environment
97,Predstavitev doktorske disertacije pred javnim zagovorom,Presentation of PhD thesis before public defence
