Naslov serijske publikacije,Leto,ISSN,Faktor vpliva
CANADIAN JOURNAL OF REMOTE SENSING,2019,0703-8992/1712-7971,2.126
CANADIAN JOURNAL OF REMOTE SENSING,2018,0703-8992,2.553
CANADIAN JOURNAL OF REMOTE SENSING,2017,0703-8992,2.0
CANADIAN JOURNAL OF REMOTE SENSING,2016,0703-8992,1.838
CANADIAN JOURNAL OF REMOTE SENSING,2015,0703-8992,1.976
CANADIAN JOURNAL OF REMOTE SENSING,2014,0703-8992,1.727
CANADIAN JOURNAL OF REMOTE SENSING,2006,0703-8992,0.752
CANADIAN JOURNAL OF REMOTE SENSING,2005,0703-8992,0.862
CANADIAN JOURNAL OF REMOTE SENSING,2004,0703-8992,1.284
CANADIAN JOURNAL OF REMOTE SENSING,2003,0703-8992,0.593
European Journal of Remote Sensing,2019,2279-7254,2.808
European Journal of Remote Sensing,2018,2279-7254,1.904
European Journal of Remote Sensing,2017,2279-7254,1.122
European Journal of Remote Sensing,2016,2279-7254,1.533
European Journal of Remote Sensing,2015,2279-7254,1.173
European Journal of Remote Sensing,2014,2279-7254,1.36
European Journal of Remote Sensing,2013,2279-7254,0.971
European Journal of Remote Sensing,2012,2279-7254,
GIScience & Remote Sensing,2019,1548-1603/1943-7226,5.965
GIScience & Remote Sensing,2018,1548-1603,3.588
GIScience & Remote Sensing,2017,1548-1603,2.852
GIScience & Remote Sensing,2016,1548-1603,3.049
GIScience & Remote Sensing,2015,1548-1603,2.482
GIScience & Remote Sensing,2014,1548-1603,1.77
GIScience & Remote Sensing,2013,1548-1603,1.48
GIScience & Remote Sensing,2012,1548-1603,1.433
GIScience & Remote Sensing,2011,1548-1603,0.642
GIScience & Remote Sensing,2010,1548-1603,1.0
GIScience & Remote Sensing,2009,1548-1603,0.957
GIScience & Remote Sensing,2008,1548-1603,0.707
IEEE Geoscience and Remote Sensing Letters,2019,1545-598X/1558-0571,3.833
IEEE Geoscience and Remote Sensing Letters,2018,1545-598X,3.534
IEEE Geoscience and Remote Sensing Letters,2017,1545-598X,2.893
IEEE Geoscience and Remote Sensing Letters,2016,1545-598X,2.761
IEEE Geoscience and Remote Sensing Letters,2015,1545-598X,2.228
IEEE Geoscience and Remote Sensing Letters,2014,1545-598X,2.095
IEEE Geoscience and Remote Sensing Letters,2013,1545-598X,1.809
IEEE Geoscience and Remote Sensing Letters,2012,1545-598X,1.823
IEEE Geoscience and Remote Sensing Letters,2011,1545-598X,1.56
IEEE Geoscience and Remote Sensing Letters,2010,1545-598X,1.42
IEEE Geoscience and Remote Sensing Letters,2009,1545-598X,1.379
IEEE Geoscience and Remote Sensing Letters,2008,1545-598X,1.832
IEEE Geoscience and Remote Sensing Letters,2007,1545-598X,1.14
IEEE Geoscience and Remote Sensing Magazine,2019,2168-6831,13.0
IEEE Geoscience and Remote Sensing Magazine,2018,2168-6831,9.659
IEEE Geoscience and Remote Sensing Magazine,2017,2168-6831,4.932
IEEE Geoscience and Remote Sensing Magazine,2016,2168-6831,2.676
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,2019,1939-1404/2151-1535,3.827
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,2018,1939-1404,3.392
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,2017,1939-1404,2.777
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,2016,1939-1404,2.913
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,2015,1939-1404,2.145
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,2014,1939-1404,3.026
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,2013,1939-1404,2.827
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,2012,1939-1404,2.874
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,2011,1939-1404,1.489
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,2010,1939-1404,1.14
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,2009,1939-1404,0.692
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2019,0196-2892/1558-0644,5.855
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2018,0196-2892,5.63
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2017,0196-2892,4.662
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2016,0196-2892,4.942
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2015,0196-2892,3.36
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2014,0196-2892,3.514
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2013,0196-2892,2.933
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2012,0196-2892,3.467
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2011,0196-2892,2.895
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2010,0196-2892,2.47
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2009,0196-2892,2.234
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2008,0196-2892,3.157
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2007,0196-2892,2.344
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2006,0196-2892,1.752
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2005,0196-2892,1.627
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2004,0196-2892,1.467
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2003,0196-2892,1.867
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2002,0196-2892,1.603
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2001,0196-2892,1.605
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2000,0196-2892,1.485
INTERNATIONAL JOURNAL OF REMOTE SENSING,2019,0143-1161/1366-5901,2.976
INTERNATIONAL JOURNAL OF REMOTE SENSING,2018,0143-1161,2.493
INTERNATIONAL JOURNAL OF REMOTE SENSING,2017,0143-1161,1.782
INTERNATIONAL JOURNAL OF REMOTE SENSING,2016,0143-1161,1.724
INTERNATIONAL JOURNAL OF REMOTE SENSING,2015,0143-1161,1.64
INTERNATIONAL JOURNAL OF REMOTE SENSING,2014,0143-1161,1.652
INTERNATIONAL JOURNAL OF REMOTE SENSING,2013,0143-1161,1.359
INTERNATIONAL JOURNAL OF REMOTE SENSING,2012,0143-1161,1.138
INTERNATIONAL JOURNAL OF REMOTE SENSING,2011,0143-1161,1.117
INTERNATIONAL JOURNAL OF REMOTE SENSING,2010,0143-1161,1.182
INTERNATIONAL JOURNAL OF REMOTE SENSING,2009,0143-1161,1.089
INTERNATIONAL JOURNAL OF REMOTE SENSING,2008,0143-1161,1.041
INTERNATIONAL JOURNAL OF REMOTE SENSING,2007,0143-1161,0.987
INTERNATIONAL JOURNAL OF REMOTE SENSING,2006,0143-1161,0.98
INTERNATIONAL JOURNAL OF REMOTE SENSING,2005,0143-1161,0.925
INTERNATIONAL JOURNAL OF REMOTE SENSING,2004,0143-1161,1.128
INTERNATIONAL JOURNAL OF REMOTE SENSING,2003,0143-1161,0.99
INTERNATIONAL JOURNAL OF REMOTE SENSING,2002,0143-1161,1.154
INTERNATIONAL JOURNAL OF REMOTE SENSING,2001,0143-1161,0.827
INTERNATIONAL JOURNAL OF REMOTE SENSING,2000,0143-1161,0.827
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,2019,0924-2716/1872-8235,7.319
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,2018,0924-2716,6.942
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,2017,0924-2716,5.994
